1,0.4335,0.8409,0.5734308102431537,0.3668,0.4474,0.8748,0.9419,0.9071,0.8409,0.8409,0.8409,0.7241,0.6544,0.6773
2,0.4314,0.8349,0.5536668060006502,0.308,0.3958,0.8654,0.9471,0.9044,0.8349,0.8349,0.8349,0.7095,0.6276,0.6501
3,0.4875,0.8315,0.5255867768595042,0.4108,0.4612,0.8801,0.921,0.9001,0.8315,0.8315,0.8315,0.7028,0.6659,0.6806
4,0.4455,0.8463,0.614516664296212,0.3349,0.4335,0.8709,0.9553,0.9111,0.8463,0.8463,0.8463,0.7427,0.6451,0.6723
5,0.471,0.8495,0.6111760674112002,0.3917,0.4774,0.8797,0.9469,0.9121,0.8495,0.8495,0.8495,0.7454,0.6693,0.6947
6,0.4728,0.8405,0.5795566723503545,0.3337,0.4236,0.8699,0.9484,0.9075,0.8405,0.8405,0.8405,0.7247,0.6411,0.6655
7,0.5526,0.8522,0.6354424778761062,0.3711,0.4685,0.877,0.9547,0.9142,0.8522,0.8522,0.8522,0.7562,0.6629,0.6914
8,0.4423,0.8749,0.7513787180182624,0.4295,0.5466,0.8887,0.9697,0.9274,0.8749,0.8749,0.8749,0.82,0.6996,0.737
9,0.401,0.8748,0.7659890689423723,0.4128,0.5365,0.8861,0.9731,0.9276,0.8748,0.8748,0.8748,0.8261,0.693,0.7321
10,0.4106,0.8832,0.7033398204532614,0.579,0.6351,0.9136,0.948,0.9305,0.8832,0.8832,0.8832,0.8085,0.7635,0.7828
11,0.4798,0.886,0.7136648505653009,0.5855,0.6433,0.915,0.95,0.9322,0.886,0.886,0.886,0.8143,0.7677,0.7877
12,0.4103,0.8935,0.7625370766365455,0.5713,0.6532,0.9133,0.9621,0.9371,0.8935,0.8935,0.8935,0.8379,0.7667,0.7951
13,0.4808,0.8898,0.7600808635067327,0.544,0.6342,0.9084,0.9634,0.9351,0.8898,0.8898,0.8898,0.8343,0.7537,0.7846
14,0.5287,0.8868,0.7578726119430995,0.5217,0.618,0.9045,0.9645,0.9335,0.8868,0.8868,0.8868,0.8312,0.7431,0.7758
15,0.5434,0.8897,0.7258484819942859,0.5974,0.6554,0.9174,0.952,0.9343,0.8897,0.8897,0.8897,0.8216,0.7747,0.7949
16,0.4608,0.8887,0.748560797528784,0.551,0.6348,0.9095,0.9606,0.9343,0.8887,0.8887,0.8887,0.829,0.7558,0.7845
17,0.5466,0.8891,0.7521594449164543,0.549,0.6347,0.9092,0.9615,0.9346,0.8891,0.8891,0.8891,0.8307,0.7552,0.7847
1,0.4334,0.8409,0.5733424801259029,0.3671,0.4476,0.8748,0.9418,0.9071,0.8409,0.8409,0.8409,0.7241,0.6545,0.6773
