1,0.3698,0.8498,0.3771,0.8374,0.8374,0.8852,0.9223,0.9034
2,0.3585,0.8556,0.4213,0.8317,0.8317,0.8423,0.9793,0.9056
3,0.3580,0.8578,0.3838,0.8478,0.8478,0.8624,0.9702,0.9131
4,0.3106,0.8748,0.3594,0.8514,0.8514,0.8794,0.9501,0.9133
5,0.2995,0.8810,0.3532,0.8401,0.8401,0.9030,0.9030,0.9030
6,0.2779,0.8913,0.3411,0.8611,0.8611,0.8883,0.9512,0.9187
7,0.2340,0.9086,0.3882,0.8643,0.8643,0.8871,0.9573,0.9209
8,0.2291,0.9106,0.3184,0.8704,0.8704,0.8981,0.9506,0.9236
9,0.2097,0.9188,0.3312,0.8711,0.8711,0.9080,0.9388,0.9231
10,0.1756,0.9314,0.4071,0.8755,0.8755,0.9052,0.9484,0.9263
11,0.1562,0.9396,0.3429,0.8792,0.8792,0.8979,0.9629,0.9293
12,0.1404,0.9461,0.3890,0.8769,0.8769,0.9123,0.9412,0.9265
13,0.1252,0.9524,0.4443,0.8812,0.8812,0.9036,0.9582,0.9301
